爬虫实习生,米德高斯,4天/周6个月本科,Java,零食下午茶，股票期权，带薪年假，年终奖，五险一金，员工旅游,200-250元/天,https://www.zhipin.com/job_detail/4ed91ff67ee8b8761XR43Ni_EFJS.html
爬虫实习生,湖南中项永达,5天/周1个月大专,网络爬虫技术,节日福利，全勤奖，年终奖，五险一金,100-150元/天,https://www.zhipin.com/job_detail/1ad73e2b4a524e501XR52du0GVNS.html
爬虫实习生,智慧足迹,4天/周6个月本科,Python,零食下午茶，定期体检，餐补，加班补助，节日福利，年终奖，补充医疗保险，五险一金，24小时健身房，带薪年假,130-180元/天,https://www.zhipin.com/job_detail/a644e25ce695c2c60HJ90tS4GFM~.html
python爬虫实习生,上海开华软件公司,5天/周6个月本科,Python,全勤奖，加班补助，年终奖，节日福利，员工旅游，零食下午茶，五险一金，带薪年假，定期体检，通讯补贴，交通补助,100-200元/天,https://www.zhipin.com/job_detail/6d635ed8b7130ba20XB73tm-FVc~.html
Python爬虫实习生,万企互联,5天/周5个月本科,Go,,100-150元/天,https://www.zhipin.com/job_detail/08c877d241bdc9081n1z39m0E1VX.html
python爬虫实习生,绿盟科技,5天/周3个月本科,网络爬虫技术,年终奖，通讯补贴，定期体检，餐补，节日福利，员工旅游，股票期权，年假递增，五险一金，加班补助，补充医疗保险，带薪年假,150-250元/天,https://www.zhipin.com/job_detail/87b988a004fcef001XZ539S_E1RV.html
爬虫实习生,网易游戏,4天/周4个月本科,网络爬虫技术,定期体检，交通补助，餐补，补充医疗保险，员工旅游，年终奖，节日福利，股票期权，带薪年假，包吃，五险一金，免费班车,150-200元/天,https://www.zhipin.com/job_detail/636a25730788238c1nJ80960EVRS.html
爬虫实习生,北京新氧万维,4天/周3个月本科,Java,体检，股票期权，免费班车，节日福利，年终奖，五险一金，定期体检，补充医疗保险，加班补助，带薪年假，员工旅游，餐补,200-400元/天,https://www.zhipin.com/job_detail/31808d28f92122e41XV_29i-F1pV.html
招聘网络爬虫实习生,智能通证,3天/周3个月本科,SQL,补充医疗保险，五险一金，零食下午茶，股票期权,200-250元/天,https://www.zhipin.com/job_detail/02db242b93afdd5b1nx82d61GFZR.html
爬虫实习生,蜗牛保险,4天/周3个月本科,网络爬虫技术,补充医疗保险，员工旅游，餐补，零食下午茶，带薪年假，节日福利，健身房篮球场，五险一金,200-280元/天,https://www.zhipin.com/job_detail/f060d4be72ae37731nN-2t65ElJU.html
爬虫实习生,直觉信息,4天/周6个月本科,SQL,五险一金,200-250元/天,https://www.zhipin.com/job_detail/d30dde1b2c2877e01nB909m7FVNV.html
Python爬虫实习生,问权知识产权,5天/周3个月大专,网络爬虫技术,节日福利，带薪年假，员工旅游，全勤奖，五险一金,100-200元/天,https://www.zhipin.com/job_detail/cd06b15f29840ef51XV40t-_E1pR.html
Python爬虫实习生,光旋科技,5天/周6个月本科,SQL,节日福利，零食下午茶，带薪年假，股票期权，全勤奖，年终奖，交通补助，五险一金，员工旅游，住房补贴，通讯补贴，餐补,120-180元/天,https://www.zhipin.com/job_detail/167b0da54a4962bd1nB53Nq0FVBU.html
